time_index,incidence,region,category,classification,mom_variation,nature
2024-03-01,0.0511,Pampeana,División,Salud,,Servicios
2024-03-01,0.0695,Pampeana,División,Transporte,,Servicios
2024-03-01,0.0266999999999999,Pampeana,División,Vivienda y servicios básicos,,Servicios
2024-03-01,0.113,Pampeana,Nivel General,Total,11.2793,
2024-03-01,0.0135,Patagonia,Análisis,Estacionales,11.4778,
2024-03-01,0.066,Patagonia,Análisis,Núcleo,9.2307,
2024-03-01,0.025,Patagonia,Análisis,Regulados,15.0228,
2024-03-01,0.0321,Patagonia,División,Alimentos y bebidas,,Bienes
2024-03-01,0.0032,Patagonia,División,Bebidas alcohólicas y tabaco,,Bienes
2024-03-01,0.0034,Patagonia,División,Bienes y servicios varios,,Mixto
2024-03-01,0.0027,Patagonia,División,Comunicación,,Servicios
2024-03-01,0.0045,Patagonia,División,Educación,,Servicios
2024-03-01,0.0024,Patagonia,División,Equipamiento del hogar,,Bienes
2024-03-01,0.0146,Patagonia,División,Prendas de vestir y calzado,,Bienes
2024-03-01,0.0044,Patagonia,División,Recreación y cultura,,Mixto
2024-03-01,0.0055,Patagonia,División,Restaurantes y hoteles,,Servicios
2024-03-01,0.0060999999999999,Patagonia,División,Salud,,Servicios
2024-03-01,0.0189,Patagonia,División,Transporte,,Servicios
2024-03-01,0.0067,Patagonia,División,Vivienda y servicios básicos,,Servicios
2024-03-01,0.105,Patagonia,Nivel General,Total,10.4607,
2024-04-01,0.0115,Cuyo,Análisis,Estacionales,11.0195,
2024-04-01,0.0422,Cuyo,Análisis,Núcleo,5.8644,
2024-04-01,0.0278,Cuyo,Análisis,Regulados,15.7861,
2024-04-01,0.0179,Cuyo,División,Alimentos y bebidas,,Bienes
2024-04-01,0.0017,Cuyo,División,Bebidas alcohólicas y tabaco,,Bienes
2024-04-01,0.0029,Cuyo,División,Bienes y servicios varios,,Mixto
2024-04-01,0.0024,Cuyo,División,Comunicación,,Servicios
2024-04-01,0.001,Cuyo,División,Educación,,Servicios
2024-04-01,0.0038,Cuyo,División,Equipamiento del hogar,,Bienes
2024-04-01,0.0093,Cuyo,División,Prendas de vestir y calzado,,Bienes
2024-04-01,0.0049,Cuyo,División,Recreación y cultura,,Mixto
2024-04-01,0.0049,Cuyo,División,Restaurantes y hoteles,,Servicios
2024-04-01,0.0085,Cuyo,División,Salud,,Servicios
2024-04-01,0.0062,Cuyo,División,Transporte,,Servicios
2024-04-01,0.0181,Cuyo,División,Vivienda y servicios básicos,,Servicios
2024-04-01,0.081,Cuyo,Nivel General,Total,8.1495,
2024-04-01,0.01,GBA,Análisis,Estacionales,8.8749,
